beta,se,ci_low,ci_high,p_raw,dimension,comparison,p_holm
-0.20001067067013023,0.1205442024809279,-0.4362773075327489,0.03625596619248844,0.09706926476072684,Correctness/reliability,Hard vs simple,0.2912077942821805
-0.19102905268140305,0.053708484255161996,-0.29629768182152055,-0.08576042354128553,0.0003754338863971724,Clarity,Hard vs simple,0.0022526033183830345
-0.11119530385153809,0.0518861405163482,-0.21289213926358055,-0.009498468439495616,0.03210798441618724,Completeness,Hard vs simple,0.12843193766474895
-0.14874176846987058,0.05050452873851423,-0.24773064479735846,-0.049752892142382696,0.003228320986704297,Empathy,Hard vs simple,0.016141604933521486
-0.10565581662981788,0.11296839789485559,-0.3270738765037349,0.11576224324409909,0.3496497960037471,Fair and nonmisleading,Hard vs simple,0.3496497960037471
-0.050105528024424244,0.03461326136378299,-0.11794752029743891,0.017736464248590413,0.1477340374325611,Perceived absence of bias,Hard vs simple,0.2954680748651222
