beta,se,ci_low,ci_high,p_raw,dimension,comparison,p_holm
-0.23435163862154876,0.04283435678819569,-0.3183069779264123,-0.1503962993166852,4.4721611456214116e-08,Correctness/reliability,Hard vs simple,2.6832966873728467e-07
-0.20056366893388644,0.040811364383448304,-0.2805539431254451,-0.12057339474232777,8.90514265718081e-07,Clarity,Hard vs simple,4.452571328590405e-06
-0.1262008440193431,0.0413077155943955,-0.20716396658435826,-0.04523772145432792,0.0022495567224347624,Completeness,Hard vs simple,0.006748670167304287
-0.1506614370488919,0.040591469824456716,-0.23022071790482707,-0.07110215619295673,0.00020591041812309768,Empathy,Hard vs simple,0.0008236416724923907
-0.12735169867970078,0.04323780389732252,-0.21209779431845294,-0.04260560304094864,0.0032255978859203967,Fairness/non-misleadingness,Hard vs simple,0.006748670167304287
-0.05787305212630064,0.03140910642571366,-0.1194349007206994,0.003688796468098131,0.06539379509009247,Perceived absence of bias,Hard vs simple,0.06539379509009247
