beta,se,ci_low,ci_high,p_raw,dimension,comparison,p_holm
-0.22832258013608037,0.042521341870009256,-0.31166441020129854,-0.14498075007086222,7.891164773474899e-08,Correctness/reliability,Hard vs simple,4.7346988640849395e-07
-0.19726690239226424,0.04070560900714269,-0.2770498960462639,-0.11748390873826457,1.2585830919710846e-06,Clarity,Hard vs simple,6.2929154598554234e-06
-0.11828010603548199,0.04084985245438405,-0.19834581684607472,-0.03821439522488926,0.003785739784199446,Completeness,Hard vs simple,0.011357219352598338
-0.14660422225648723,0.04041579751442928,-0.2258191853847686,-0.06738925912820584,0.00028629074065383294,Empathy,Hard vs simple,0.0011451629626153318
-0.12263727596320388,0.04304133973347627,-0.20699830184081736,-0.038276250085590394,0.004381686654634017,Fairness/non-misleadingness,Hard vs simple,0.011357219352598338
-0.055705961664077944,0.03132580904350328,-0.11710454738934437,0.005692624061188485,0.0753583932199784,Perceived absence of bias,Hard vs simple,0.0753583932199784
