beta,se,ci_low,ci_high,p_raw,dimension,comparison,p_holm
-0.2246096798620811,0.04254770099572618,-0.30800317381370446,-0.1412161859104578,1.2988470307717143e-07,Correctness/reliability,Hard vs simple,7.793082184630286e-07
-0.19508141508074534,0.040720173331570665,-0.2748929548106238,-0.11526987535086683,1.6613373749477902e-06,Clarity,Hard vs simple,8.30668687473895e-06
-0.11463750334289673,0.04089101762404736,-0.19478389788602954,-0.034491108799763914,0.005055301331249647,Completeness,Hard vs simple,0.015079537029258825
-0.14286163122469975,0.04047614482854804,-0.2221948750886539,-0.06352838736074559,0.00041630379849442225,Empathy,Hard vs simple,0.001665215193977689
-0.12080595512318909,0.043063013888917895,-0.20520946234546816,-0.03640244790091002,0.005026512343086275,Fair and non-misleading,Hard vs simple,0.015079537029258825
-0.054967577397434624,0.03138595327559008,-0.11648404581759117,0.00654889102272193,0.07988680208371432,Perceived absence of bias,Hard vs simple,0.07988680208371432
