beta,se,ci_low,ci_high,p_raw,dimension,comparison,p_holm
-0.2305797284122275,0.04286048971114466,-0.31458628824607104,-0.14657316857838398,7.457959527757062e-08,Correctness/reliability,Hard vs simple,4.474775716654237e-07
-0.19829851024494963,0.04082911209187536,-0.27832356994502533,-0.11827345054487391,1.1930272151985278e-06,Clarity,Hard vs simple,5.965136075992639e-06
-0.12249657419159156,0.041348318094154755,-0.2035392776561349,-0.041453870727048245,0.0030509950985652154,Completeness,Hard vs simple,0.009152985295695646
-0.14689193308900583,0.0406522805121991,-0.22657040289291608,-0.0672134632850956,0.0003022371225610962,Empathy,Hard vs simple,0.0012089484902443849
-0.12548407981957227,0.04326173936813136,-0.21027708898110975,-0.0406910706580348,0.0037247428950296303,Fair and non-misleading,Hard vs simple,0.009152985295695646
-0.05713244733287547,0.0314715295821306,-0.11881664531385144,0.004551750648100497,0.06946718199373368,Perceived absence of bias,Hard vs simple,0.06946718199373368
